title,link,rubric,date,image_url,club_tags,league,scraped_at
Моуринью: «Арбитры УЕФА слишком строго следуют букве правил»1 октября 03:24,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2250622_Mourinju_Arbitry_UJeFA_slishkom_strogo_sledujut_bukve_pravil,Лига чемпионов,1 октября 03:24,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
Хаби Алонсо подарили игрушечную рыбу после разгромной победы «Реала» над «Кайратом» — СМИ1 октября 00:59,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2250613_Habi_Alonso_podarili_igrushechnuju_rybu_posle_razgromnoj_pobedy_Reala_nad_Kajratom__SMI,Лига чемпионов,1 октября 00:59,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Реал Мадрид, Реал",Лига Чемпионов,2025-10-08 14:07:13
«Буде‑Глимт» Хайкина сыграл вничью с «Тоттенхэмом» в матче Лиги чемпионов1 октября 00:04,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2250610_BudeGlimt_Khajkina_sygral_vnichju_s_Tottenkhemom_v_matche_Ligi_chempionov,Лига чемпионов,1 октября 00:04,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Тоттенхэм,Лига Чемпионов,2025-10-08 14:07:13
Хет‑трик Мбаппе помог «Реалу» разгромить «Кайрат» в матче Лиги чемпионов30 сентября 21:47,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2250486_Hettrik_Mbappe_pomog_Realu_razgromit_Kajrat_v_matche_Ligi_chempionov,Европа,30 сентября 21:47,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Реал Мадрид, Реал",Лига Чемпионов,2025-10-08 14:07:13
Уборщица в Казахстане выкрала испачканные трусы Мбаппе. И продает за сумасшедшие деньги30 сентября 19:22,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2250433_Uborshhica_v_Kazahstane_vykrala_ispachkannyje_trusy_Mbappe_I_prodajet_za_sumasshedshije_dengi,Футбол,30 сентября 19:22,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
Горничная из отеля в Алма‑Ате продает грязные трусы Мбаппе за 150 тысяч рублей30 сентября 16:39,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2250392_Gornichnaja_iz_otela_v_AlmaAte_prodajet_graznyje_trusy_Mbappe_za_150_tysach_rublej,Лига чемпионов,30 сентября 16:39,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
"Мадридский «Реал» выкупил все номера отеля в Алма‑Ате перед матчем с «Кайратом», заплатив 42 млн рублей — СМИ30 сентября 09:26",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2250271_Madridskij_Real_vykupil_vse_nomera_otela_v_AlmaAte_pered_matchem_s_Kajratom_zaplativ_42_mln_rublej__SMI,Лига чемпионов,30 сентября 09:26,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Реал Мадрид, Реал",Лига Чемпионов,2025-10-08 14:07:13
"«Кайрат» уступил «Спортингу» в дебютном матче в Лиге чемпионов, «Манчестер Сити» победил «Наполи»19 сентября 00:01",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2245666_Kajrat_ustupil_Sportingu_v_debutnom_matche_v_Lige_chempionov_Manchester_Siti_pobedil_Napoli,Лига чемпионов,19 сентября 00:01,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Манчестер Сити, Наполи",Лига Чемпионов,2025-10-08 14:07:13
Гол Ван Дейка на 90‑й минуте принес «Ливерпулю» победу над «Атлетико» в матче Лиги чемпионов18 сентября 00:01,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2245308_Gol_Van_Dejka_na_90j_minute_prines_Liverpulu_pobedu_nad_Atletiko_v_matche_Ligi_chempionov,Европа,18 сентября 00:01,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
Футболисты «Монако» разделись до нижнего белья из‑за сломанного кондиционера в самолете17 сентября 23:35,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2245295_Futbolisty_Monako_razdelis_do_nizhnego_belja_izza_slomannogo_kondicionera_v_samolete,Европа,17 сентября 23:35,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Монако,Лига Чемпионов,2025-10-08 14:07:13
«Буде‑Глимт» Хайкина на 90‑й минуте ушел от поражения в матче Лиги чемпионов против «Славии»17 сентября 22:01,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2245264_BudeGlimt_Khajkina_na_90j_minute_ushel_ot_porazhenija_v_matche_Ligi_chempionov_protiv_Slavii,Европа,17 сентября 22:01,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
В Париже перед матчем «ПСЖ» — «Аталанта» арестовали 19 болельщиков итальянского клуба17 сентября 18:08,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2245146_V_Parizhe_pered_matchem_PSZh__Atalanta_arestovali_19_bolelshhikov_italjanskogo_kluba,Европа,17 сентября 18:08,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Аталанта, ПСЖ",Лига Чемпионов,2025-10-08 14:07:13
«Реал» в меньшинстве обыграл «Марсель» в Лиге чемпионов. «Ювентус» и «Боруссия» на двоих забили восемь голов17 сентября 00:03,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2244847_Real_v_menshinstve_obygral_Marsel_v_Lige_chempionov_Juventus_i_Borussija_na_dvoih_zabili_vosem_golov_,Лига чемпионов,17 сентября 00:03,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Реал Мадрид, Ювентус, Боруссия Дортмунд, Марсель, Реал",Лига Чемпионов,2025-10-08 14:07:13
Фанаты «Марселя» устроили драку с полицией перед матчем против «Реала» в Мадриде16 сентября 21:44,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2244750_Fanaty_Marsela_ustroili_draku_s_policijej_pered_matchem_protiv_Reala_v_Madride,Европа,16 сентября 21:44,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Реал Мадрид, Реал",Лига Чемпионов,2025-10-08 14:07:13
Финал Лиги чемпионов в 2027 году пройдет в Мадриде — СМИ11 сентября 05:40,https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2242442_Final_Ligi_chempionov_v_2027_godu_projdet_v_Madride__SMI,Лига чемпионов,11 сентября 05:40,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Реал Мадрид,Лига Чемпионов,2025-10-08 14:07:13
"Аршавин: «Поздравляю «Кайрат» с выходом в Лигу чемпионов, надеюсь посетить матчи турнира в Алма‑Ате»30 августа 05:14",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2238294_Arshavin_Pozdravlaju_Kajrat_s_vyhodom_v_Ligu_chempionov_nadejus_posetit_matchi_turnira_v_AlmaAte,Лига чемпионов,30 августа 05:14,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
"Определились 32 участника общего этапа ЛЧ, «Кайрат», «Буде‑Глимт» и «Пафос» попали в основной раунд27 августа 06:31",https://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/spbnews_NI2237426_Opredelilis_32_uchastnika_obshhego_etapa_LCh_Kajrat_BudeGlimt_i_Pafos_popali_v_osnovnoj_raund,Лига чемпионов,27 августа 06:31,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Лига Чемпионов,2025-10-08 14:07:13
